/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/s3_srvr_2_alt_true.BV.c.cil.c.21.smt2 UNSAT 51782 55363 5758177 0
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/s3_srvr_2_true.BV.c.cil.c.17.smt2 UNSAT 33665 35035 7435945 0
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/s3_srvr_2_true.BV.c.cil.c.21.smt2 UNSAT 51490 54879 5581090 0
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/s3_srvr_3_alt_true.BV.c.cil.c.17.smt2 UNSAT 29232 30414 5057324 0
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/s3_srvr_3_alt_true.BV.c.cil.c.21.smt2 UNSAT 46719 48592 4108907 0
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/s3_srvr_3_true.BV.c.cil.c.17.smt2 UNSAT 28795 30838 2943639 0
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/s3_srvr_3_true.BV.c.cil.c.21.smt2 UNSAT 45241 48461 4574960 0
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/sum02_true.c.17.smt2 UNSAT 139 143 712982 4
/Benchmarks/srem_sdiv_mul/QF_BV/bmc-bv-svcomp14/sum02_true.c.21.smt2 UNSAT 128 152 664577 5
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov1bw04.smt2 UNSAT 69 105 137103 1
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov1bw08.smt2 UNSAT 98 134 446060 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov1bw12.smt2 UNSAT 156 141 753501 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov1bw16.smt2 UNSAT 187 235 1183553 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov1bw24.smt2 UNSAT 267 326 2155440 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov1bw32.smt2 UNSAT 696 685 6117498 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov1bw48.smt2 UNSAT 1320 1390 12439480 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov2bw016.smt2 UNSAT 122 114 553335 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov2bw032.smt2 UNSAT 214 254 1668670 2
/Benchmarks/srem_sdiv_mul/QF_BV/brummayerbiere2/smulov2bw048.smt2 UNSAT 497 468 4258725 2
