name status status satpart satpart
/QF_BV/brummayerbiere2/smulov1bw32.smt2 UNKNOWN UNKNOWN 1199320 1199970
/QF_BV/brummayerbiere2/smulov1bw48.smt2 UNKNOWN UNKNOWN 1199690 1199970
/QF_BV/brummayerbiere2/smulov2bw016.smt2 UNSAT UNSAT 90 91
/QF_BV/brummayerbiere2/smulov2bw032.smt2 UNSAT UNSAT 377 365
/QF_BV/brummayerbiere2/smulov2bw048.smt2 UNSAT UNSAT 847 1067
/QF_BV/brummayerbiere2/smulov2bw064.smt2 UNSAT UNSAT 2890 1670
/QF_BV/brummayerbiere2/smulov2bw080.smt2 UNSAT UNSAT 8087 4568
/QF_BV/brummayerbiere2/smulov2bw096.smt2 UNSAT UNSAT 16404 7254
/QF_BV/brummayerbiere2/smulov2bw112.smt2 UNSAT UNSAT 8890 25138
/QF_BV/brummayerbiere2/smulov2bw128.smt2 UNSAT UNSAT 11458 32135
/QF_BV/brummayerbiere2/smulov2bw160.smt2 UNSAT UNSAT 22529 22830
/QF_BV/brummayerbiere2/smulov2bw192.smt2 UNSAT UNSAT 23999 19766
/QF_BV/brummayerbiere2/smulov2bw224.smt2 UNSAT UNSAT 26099 46281
/QF_BV/brummayerbiere2/smulov2bw256.smt2 UNSAT UNSAT 76137 55427
/QF_BV/brummayerbiere2/smulov2bw320.smt2 UNSAT UNSAT 51685 49644
/QF_BV/brummayerbiere2/smulov2bw384.smt2 UNSAT UNSAT 75676 75640
/QF_BV/brummayerbiere2/smulov2bw448.smt2 UNSAT UNSAT 76142 71792
/QF_BV/brummayerbiere2/smulov2bw512.smt2 UNSAT UNSAT 387381 191136
/QF_BV/brummayerbiere2/smulov3bw0032.smt2 UNSAT UNSAT 3 3
/QF_BV/brummayerbiere2/smulov3bw0064.smt2 UNSAT UNSAT 12 12
/QF_BV/brummayerbiere2/smulov3bw0128.smt2 UNSAT UNSAT 48 47
/QF_BV/brummayerbiere2/smulov3bw0256.smt2 UNSAT UNSAT 213 208
/QF_BV/brummayerbiere2/smulov3bw0384.smt2 UNSAT UNSAT 573 561
/QF_BV/brummayerbiere2/smulov3bw0512.smt2 UNSAT UNSAT 941 936
/QF_BV/brummayerbiere2/smulov3bw0640.smt2 UNSAT UNSAT 1584 1593
/QF_BV/brummayerbiere2/smulov3bw0768.smt2 UNSAT UNSAT 2464 2487
/QF_BV/brummayerbiere2/smulov3bw0896.smt2 UNSAT UNSAT 3234 3161
/QF_BV/brummayerbiere2/smulov3bw1024.smt2 UNSAT UNSAT 3964 3996
/QF_BV/brummayerbiere2/umulov1bw016.smt2 UNSAT UNSAT 176 193
/QF_BV/brummayerbiere2/umulov1bw032.smt2 UNSAT UNSAT 698 1773
/QF_BV/brummayerbiere2/umulov1bw048.smt2 UNSAT UNSAT 1622 2538
/QF_BV/brummayerbiere2/umulov1bw064.smt2 UNSAT UNSAT 3239 2962
/QF_BV/brummayerbiere2/umulov1bw080.smt2 UNSAT UNSAT 6253 9509
/QF_BV/brummayerbiere2/umulov1bw096.smt2 UNSAT UNSAT 15032 9312
/QF_BV/brummayerbiere2/umulov1bw112.smt2 UNSAT UNSAT 21293 13488
/QF_BV/brummayerbiere2/umulov1bw128.smt2 UNSAT UNSAT 25524 22629
/QF_BV/brummayerbiere2/umulov1bw160.smt2 UNSAT UNSAT 53937 71554
/QF_BV/brummayerbiere2/umulov1bw192.smt2 UNSAT UNSAT 58159 93501
/QF_BV/brummayerbiere2/umulov1bw224.smt2 UNSAT UNSAT 125610 164778
/QF_BV/brummayerbiere2/umulov1bw256.smt2 UNSAT UNSAT 244205 321371
/QF_BV/brummayerbiere2/umulov2bw0032.smt2 UNSAT UNSAT 4 4
/QF_BV/brummayerbiere2/umulov2bw0064.smt2 UNSAT UNSAT 13 14
/QF_BV/brummayerbiere2/umulov2bw0128.smt2 UNSAT UNSAT 54 52
/QF_BV/brummayerbiere2/umulov2bw0256.smt2 UNSAT UNSAT 229 223
/QF_BV/brummayerbiere2/umulov2bw0384.smt2 UNSAT UNSAT 606 585
/QF_BV/brummayerbiere2/umulov2bw0512.smt2 UNSAT UNSAT 1009 1003
/QF_BV/brummayerbiere2/umulov2bw0640.smt2 UNSAT UNSAT 1733 1622
/QF_BV/brummayerbiere2/umulov2bw0768.smt2 UNSAT UNSAT 2576 2590
/QF_BV/brummayerbiere2/umulov2bw0896.smt2 UNSAT UNSAT 3397 3299
/QF_BV/brummayerbiere2/umulov2bw1024.smt2 UNSAT UNSAT 4302 4222
/QF_BV/brummayerbiere3/icbrteqcheck.smt2 UNSAT UNSAT 14 14
/QF_BV/brummayerbiere3/icbrtor.smt2 UNSAT UNSAT 9520 9716
/QF_BV/brummayerbiere3/icbrt.smt2 UNSAT UNSAT 9470 9697
/QF_BV/brummayerbiere3/isqrtaddnoif.smt2 UNSAT UNKNOWN 195557 1199540
/QF_BV/brummayerbiere3/isqrtadd.smt2 UNSAT UNSAT 95518 98413
/QF_BV/brummayerbiere3/isqrtnoif.smt2 UNSAT UNKNOWN 209679 1199370
/QF_BV/brummayerbiere3/isqrt.smt2 UNSAT UNSAT 95401 97079
/QF_BV/brummayerbiere3/mulhs08.smt2 UNSAT UNSAT 14725 12395
/QF_BV/brummayerbiere3/mulhs16.smt2 UNKNOWN UNKNOWN 1199020 1199620
/QF_BV/brummayerbiere3/mulhs32.smt2 UNKNOWN UNKNOWN 1199810 1199440
/QF_BV/brummayerbiere3/mulhs64.smt2 UNKNOWN UNKNOWN 1199400 1199960
/QF_BV/calypto/problem_10.smt2 UNKNOWN UNKNOWN 1198950 1199040
/QF_BV/calypto/problem_14.smt2 UNSAT UNSAT 5 5
/QF_BV/calypto/problem_16.smt2 UNKNOWN UNKNOWN 1199080 1199170
/QF_BV/calypto/problem_19.smt2 UNKNOWN UNKNOWN 1199640 1199770
/QF_BV/calypto/problem_21.smt2 UNKNOWN UNKNOWN 1199240 1199870
/QF_BV/calypto/problem_3.smt2 UNSAT UNSAT 24554 26584
/QF_BV/calypto/problem_5.smt2 UNSAT UNSAT 73 70
/QF_BV/challenge/integerOverflow.smt2 UNKNOWN UNKNOWN 1199200 1199160
/QF_BV/challenge/multiplyOverflow.smt2 UNSAT UNSAT 614684 625964
/QF_BV/float/mul_03_30_1.smt2 UNSAT UNSAT 18682 17013
/QF_BV/float/mul_03_30_2.smt2 UNSAT UNSAT 16245 16267
/QF_BV/float/mul_03_30_3.smt2 UNSAT UNSAT 15924 20805
/QF_BV/float/mul_03_30_4.smt2 UNSAT UNSAT 200110 244994
/QF_BV/float/mul_03_30_5.smt2 UNSAT UNSAT 16550 17784
/QF_BV/float/mul_03_30_6.smt2 UNSAT UNSAT 19150 16102
/QF_BV/float/mul_03_30_7.smt2 UNSAT UNSAT 19757 22199
/QF_BV/float/newton.1.1.i.smt2 UNSAT UNSAT 34728 24318
/QF_BV/float/newton.1.2.i.smt2 UNSAT UNSAT 149953 140767
/QF_BV/float/newton.1.3.i.smt2 UNSAT UNSAT 319855 331777
/QF_BV/float/newton.2.1.i.smt2 UNSAT UNSAT 42596 41686
/QF_BV/float/newton.2.2.i.smt2 UNSAT UNSAT 126904 161749
/QF_BV/float/newton.2.3.i.smt2 UNSAT UNSAT 280804 279040
/QF_BV/float/newton.3.1.i.smt2 UNSAT UNSAT 46973 49965
/QF_BV/float/newton.3.2.i.smt2 UNSAT UNSAT 137040 138027
/QF_BV/float/newton.3.3.i.smt2 UNSAT UNSAT 275928 332695
/QF_BV/float/newton.4.2.i.smt2 UNSAT UNSAT 136256 150915
/QF_BV/float/newton.4.3.i.smt2 UNSAT UNSAT 304481 310834
/QF_BV/float/newton.5.2.i.smt2 UNSAT UNSAT 157696 201226
/QF_BV/float/newton.5.3.i.smt2 UNSAT UNSAT 270883 346018
/QF_BV/float/pow5.smt2 UNSAT UNSAT 32367 29142
/QF_BV/float/qurt.c.10.smt2 UNSAT UNSAT 126 138
/QF_BV/float/qurt.c.15.smt2 UNSAT UNSAT 217 244
/QF_BV/float/qurt.c.2.smt2 UNSAT UNSAT 10 10
/QF_BV/float/qurt.c.5.smt2 UNSAT UNSAT 42 48
/QF_BV/float/sine.2.0.i.smt2 UNSAT UNSAT 10906 5165
/QF_BV/float/sine.3.0.i.smt2 UNSAT UNSAT 5429 14354
/QF_BV/float/sine.4.0.i.smt2 UNSAT UNSAT 8076 5080
/QF_BV/float/sine.5.0.i.smt2 UNSAT UNSAT 4897 6041
/QF_BV/float/sine.6.0.i.smt2 UNSAT UNSAT 5434 14295
/QF_BV/float/sine.7.0.i.smt2 UNSAT UNSAT 12544 5577
/QF_BV/float/sine.8.0.i.smt2 UNSAT UNSAT 4815 8387
/QF_BV/float/square.1.0.i.smt2 UNSAT UNSAT 10724 8876
/QF_BV/float/square.2.0.i.smt2 UNSAT UNSAT 4726 11992
/QF_BV/float/square.3.0.i.smt2 UNSAT UNSAT 11087 4709
/QF_BV/float/square.4.0.i.smt2 UNSAT UNSAT 11632 12497
/QF_BV/float/square.5.0.i.smt2 UNSAT UNSAT 11113 12014
/QF_BV/float/square.6.0.i.smt2 UNSAT UNSAT 10840 11301
/QF_BV/float/square.7.0.i.smt2 UNSAT UNSAT 10701 11433
/QF_BV/float/square.8.0.i.smt2 UNSAT UNSAT 11085 9437
/QF_BV/float/test_v3_r3_vr1_c1_s5578.smt2 UNSAT UNSAT 15565 4770
/QF_BV/float/test_v3_r3_vr1_c1_s6731.smt2 UNSAT UNSAT 9927 9977
/QF_BV/float/test_v3_r8_vr10_c1_s18214.smt2 UNSAT UNSAT 63096 93124
/QF_BV/float/test_v3_r8_vr10_c1_s4660.smt2 UNSAT UNSAT 51943 92708
/QF_BV/float/test_v3_r8_vr1_c1_s20372.smt2 UNSAT UNSAT 64924 31162
/QF_BV/float/test_v3_r8_vr1_c1_s23752.smt2 UNSAT UNSAT 41107 42691
/QF_BV/float/test_v3_r8_vr1_c1_s733.smt2 UNSAT UNSAT 74590 59040
/QF_BV/float/test_v3_r8_vr5_c1_s10746.smt2 UNSAT UNSAT 64560 73088
/QF_BV/float/test_v3_r8_vr5_c1_s1507.smt2 UNSAT UNSAT 87263 41491
/QF_BV/float/test_v3_r8_vr5_c1_s8257.smt2 UNSAT UNSAT 40204 43343
/QF_BV/float/test_v5_r10_vr10_c1_s15708.smt2 UNKNOWN UNKNOWN 1199780 1199260
/QF_BV/float/test_v5_r10_vr10_c1_s21502.smt2 UNSAT UNSAT 990249 967021
/QF_BV/float/test_v5_r10_vr10_c1_s7608.smt2 UNSAT UNSAT 911178 847666
/QF_BV/float/test_v5_r10_vr1_c1_s32538.smt2 UNSAT UNSAT 217734 465527
/QF_BV/float/test_v5_r10_vr5_c1_s8690.smt2 UNSAT UNSAT 575970 884451
/QF_BV/float/test_v5_r15_vr10_c1_s14516.smt2 UNKNOWN UNKNOWN 1199520 1199860
/QF_BV/float/test_v5_r15_vr10_c1_s25268.smt2 UNKNOWN UNKNOWN 1199730 1199290
/QF_BV/float/test_v5_r15_vr1_c1_s26845.smt2 UNSAT UNSAT 544628 460628
/QF_BV/float/test_v5_r15_vr1_c1_s32559.smt2 UNSAT UNSAT 459389 209924
/QF_BV/float/test_v5_r15_vr1_c1_s8236.smt2 UNSAT UNSAT 258177 485064
