name status time real satpart round
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1098.smt2 UNSAT 98 73 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_109.smt2 UNSAT 97 102 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1104.smt2 UNSAT 98 50 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1107.smt2 UNSAT 94 142 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1108.smt2 UNSAT 94 99 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1109.smt2 UNSAT 97 146 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_110.smt2 UNSAT 97 114 4 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1111.smt2 UNSAT 156 114 615 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1112.smt2 UNSAT 165 154 640 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_111.smt2 UNSAT 96 87 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1125.smt2 UNSAT 97 102 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1127.smt2 UNSAT 94 56 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1128.smt2 UNSAT 97 97 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_112.smt2 UNSAT 96 97 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_113.smt2 UNSAT 102 54 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1142.smt2 UNSAT 365 395 2648 2
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1146.smt2 UNSAT 167 156 617 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1147.smt2 UNSAT 164 153 650 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1148.smt2 UNSAT 166 114 645 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1149.smt2 UNSAT 157 129 626 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_114.smt2 UNSAT 92 128 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1167.smt2 UNSAT 92 141 3 -1
